Number:,Age:,Weight:,Height:,Gender,Jump Flight Time (Android):,Jump Flight Time (BioPlux):,Predicted_LSQ,Predicted_MLP
518,22,78,170,Male,377,330,375.8127094386695,376.7667168065594
519,22,78,170,Male,397,384,384.31811266531724,384.20704783886544
52,22,78,170,Male,433,428,399.62783847328325,405.0652161902927
520,22,78,170,Male,363,388,369.85892718001605,376.2778754976271
521,22,78,170,Male,364,328,370.28419734134843,376.1480619672212
522,22,78,170,Male,360,352,368.58311669601886,376.6673160888447
523,22,78,170,Male,105,359,,
524,22,78,170,Male,413,394,391.1224352466355,391.4732273066421
525,22,78,170,Male,379,378,376.66324976133427,377.3502885409321
526,22,78,170,Male,428,388,397.5014876666213,401.6590360634859
527,22,78,170,Male,379,352,376.66324976133427,377.3502885409321
528,22,78,170,Male,380,357,377.08851992266665,377.7072913135326
529,22,78,170,Male,347,393,363.05460459869784,381.34211662300714
53,22,78,170,Male,431,393,398.7772981506185,403.70274413957
530,22,78,170,Male,380,358,377.08851992266665,377.7072913135326
531,22,78,170,Male,379,301,376.66324976133427,377.3502885409321
532,22,78,170,Male,379,374,376.66324976133427,377.3502885409321
533,22,78,170,Male,379,370,376.66324976133427,377.3502885409321
534,22,78,170,Male,345,381,362.204064276033,382.3718008135135
535,22,78,170,Male,381,391,377.513790083999,378.06429408613303
536,22,78,170,Male,345,360,362.204064276033,382.3718008135135
537,22,78,170,Male,380,362,377.08851992266665,377.7072913135326
538,22,78,170,Male,348,374,363.4798747600302,380.8272745277539
539,22,78,170,Male,396,437,383.89284250398487,383.7763030349461
54,22,78,170,Male,416,418,392.39824573063265,393.4842037591498
540,22,78,170,Male,331,341,356.2502820173796,393.0334756174935
541,22,78,170,Male,346,349,362.6293344373654,381.85695871826033
542,22,78,170,Male,364,367,370.28419734134843,376.1480619672212
543,22,78,170,Male,379,379,376.66324976133427,377.3502885409321
544,22,78,170,Male,362,353,369.4336570186837,376.407689028033
545,22,78,170,Male,380,355,377.08851992266665,377.7072913135326
546,22,78,170,Male,413,385,391.1224352466355,391.4732273066421
547,22,78,170,Male,313,377,348.5954191133966,425.13704432933423
548,22,78,170,Male,364,355,370.28419734134843,376.1480619672212
549,22,78,170,Male,362,385,369.4336570186837,376.407689028033
55,22,78,170,Male,417,419,392.82351589196503,394.16543978451114
550,22,78,170,Male,380,354,377.08851992266665,377.7072913135326
56,22,78,170,Male,365,369,370.7094675026808,376.06711945650653
57,22,78,170,Male,448,433,406.0068908932691,415.7697897858706
58,22,78,170,Male,413,549,391.1224352466355,391.4732273066421
59,22,78,170,Male,430,433,398.3520279892861,403.02150811420864
6,31,70,175,Male,378,359,374.4158430397722,376.0107894640351
60,22,78,170,Male,414,402,391.5477054079679,392.1217317084272
61,22,78,170,Male,449,356,406.4321610546015,416.51751211060065
62,22,78,170,Male,431,432,398.7772981506185,403.70274413957
64,22,78,170,Male,414,408,391.5477054079679,392.1217317084272
65,22,78,170,Male,448,439,406.0068908932691,415.7697897858706
66,22,78,170,Male,464,437,412.81121347458736,430.0832475916924
67,22,78,170,Male,332,376,356.675552178712,392.17209560605045
68,22,78,170,Male,446,457,405.15635057060433,414.2743451364107
69,22,78,170,Male,429,399,397.92675782795374,402.3402720888473
7,31,70,175,Male,364,383,368.46206078111874,374.1890631346585
70,22,78,170,Male,430,367,398.3520279892861,403.02150811420864
71,22,78,170,Male,430,396,398.3520279892861,403.02150811420864
72,22,78,170,Male,430,314,398.3520279892861,403.02150811420864
73,22,78,170,Male,430,393,398.3520279892861,403.02150811420864
74,22,78,170,Male,431,368,398.7772981506185,403.70274413957
75,22,78,170,Male,413,355,391.1224352466355,391.4732273066421
76,22,78,170,Male,430,400,398.3520279892861,403.02150811420864
78,22,78,170,Male,429,380,397.92675782795374,402.3402720888473
79,22,78,170,Male,447,395,405.5816207319367,415.0220674611407
8,31,70,175,Male,429,364,396.10462126772404,399.76657136014813
80,22,78,170,Male,398,416,384.7433828266497,384.6377926427848
81,22,78,170,Male,380,352,377.08851992266665,377.7072913135326
82,22,78,170,Male,415,394,391.9729755693003,392.80296773378853
83,22,78,170,Male,431,430,398.7772981506185,403.70274413957
84,22,78,170,Male,430,423,398.3520279892861,403.02150811420864
85,22,78,170,Male,430,420,398.3520279892861,403.02150811420864
86,22,78,170,Male,430,426,398.3520279892861,403.02150811420864
87,22,78,170,Male,447,380,405.5816207319367,415.0220674611407
88,22,78,170,Male,430,446,398.3520279892861,403.02150811420864
89,22,78,170,Male,462,424,411.96067315192255,428.0858811575557
9,31,70,175,Male,380,386,375.26638336243695,376.5468788714439
90,22,78,170,Male,430,448,398.3520279892861,403.02150811420864
91,22,78,170,Male,413,392,391.1224352466355,391.4732273066421
92,22,78,170,Male,445,388,404.73108040927195,413.52662281168074
93,22,78,170,Male,446,431,405.15635057060433,414.2743451364107
94,22,78,170,Male,413,431,391.1224352466355,391.4732273066421
95,22,78,170,Male,430,435,398.3520279892861,403.02150811420864
96,22,78,170,Male,429,439,397.92675782795374,402.3402720888473
97,22,78,170,Male,430,405,398.3520279892861,403.02150811420864
98,22,78,170,Male,448,423,406.0068908932691,415.7697897858706
99,22,78,170,Male,445,460,404.73108040927195,413.52662281168074
