Number:,Age:,Weight:,Height:,Gender,Jump Flight Time (Android):,Jump Flight Time (BioPlux):,Predicted_LSQ,Predicted_MLP
136,22,48,153,Female,364,464,415.30558781276,417.9961056253572
137,22,48,153,Female,447,429,450.60301120334833,431.48047056859826
138,22,48,153,Female,430,433,443.37341846069774,426.18819099702586
139,22,48,153,Female,512,464,,
14,31,70,175,Male,380,386,375.26638336243695,376.5468788714439
140,22,78,170,Male,433,377,399.62783847328325,405.0652161902927
141,22,78,170,Male,407,363,388.57081427864114,388.5829328868485
142,22,78,170,Male,432,463,399.20256831195087,404.3839801649313
143,22,78,170,Male,414,389,391.5477054079679,392.1217317084272
144,22,78,170,Male,416,376,392.39824573063265,393.4842037591498
145,22,78,170,Male,431,392,398.7772981506185,403.70274413957
146,22,78,170,Male,429,406,397.92675782795374,402.3402720888473
147,22,78,170,Male,433,373,399.62783847328325,405.0652161902927
148,22,78,170,Male,414,404,391.5477054079679,392.1217317084272
149,22,78,170,Male,416,396,392.39824573063265,393.4842037591498
15,31,70,175,Male,514,354,,
150,22,78,170,Male,417,366,392.82351589196503,394.16543978451114
151,22,78,170,Male,431,410,398.7772981506185,403.70274413957
152,22,78,170,Male,431,413,398.7772981506185,403.70274413957
153,22,78,170,Male,415,411,391.9729755693003,392.80296773378853
154,22,78,170,Male,431,354,398.7772981506185,403.70274413957
155,22,78,170,Male,398,353,384.7433828266497,384.6377926427848
156,22,78,170,Male,431,414,398.7772981506185,403.70274413957
157,22,78,170,Male,413,348,391.1224352466355,391.4732273066421
158,22,78,170,Male,413,375,391.1224352466355,391.4732273066421
159,22,78,170,Male,398,359,384.7433828266497,384.6377926427848
16,31,70,175,Male,332,342,354.8534156184823,374.5121988436083
160,22,78,170,Male,415,394,391.9729755693003,392.80296773378853
161,22,78,170,Male,417,408,392.82351589196503,394.16543978451114
162,22,78,170,Male,381,328,377.513790083999,378.06429408613303
163,22,78,170,Male,427,434,397.0762175052889,400.9778000381246
164,22,78,170,Male,432,399,399.20256831195087,404.3839801649313
165,22,78,170,Male,415,430,391.9729755693003,392.80296773378853
166,22,78,170,Male,381,376,377.513790083999,378.06429408613303
167,22,78,170,Male,382,342,377.93906024533146,378.42129685873346
168,22,78,170,Male,415,378,391.9729755693003,392.80296773378853
169,22,78,170,Male,399,369,385.16865298798206,385.06853744670417
17,31,70,175,Male,397,368,382.4959761050876,382.80647747041274
170,22,78,170,Male,431,366,398.7772981506185,403.70274413957
171,22,78,170,Male,398,348,384.7433828266497,384.6377926427848
172,22,78,170,Male,415,418,391.9729755693003,392.80296773378853
173,22,78,170,Male,382,368,377.93906024533146,378.42129685873346
174,22,78,170,Male,415,408,391.9729755693003,392.80296773378853
175,22,78,170,Male,381,335,377.513790083999,378.06429408613303
176,22,78,170,Male,398,383,384.7433828266497,384.6377926427848
177,22,78,170,Male,366,368,371.1347376640132,376.031517411683
178,22,78,170,Male,397,364,384.31811266531724,384.20704783886544
179,22,78,170,Male,383,320,378.36433040666384,378.7782996313338
18,31,70,175,Male,365,365,368.8873309424511,374.22162693519243
180,22,78,170,Male,398,384,384.7433828266497,384.6377926427848
181,22,78,170,Male,413,379,391.1224352466355,391.4732273066421
182,22,78,170,Male,396,380,383.89284250398487,383.7763030349461
183,22,78,170,Male,398,356,384.7433828266497,384.6377926427848
184,22,78,170,Male,397,377,384.31811266531724,384.20704783886544
185,22,78,170,Male,413,400,391.1224352466355,391.4732273066421
186,22,78,170,Male,414,416,391.5477054079679,392.1217317084272
187,22,78,170,Male,398,387,384.7433828266497,384.6377926427848
188,22,78,170,Male,380,390,377.08851992266665,377.7072913135326
189,22,78,170,Male,365,347,370.7094675026808,376.06711945650653
19,31,70,175,Male,379,360,374.8411132011046,376.2788341677395
190,22,78,170,Male,397,366,384.31811266531724,384.20704783886544
191,22,78,170,Male,409,411,389.42135460130595,389.54636436011305
192,22,78,170,Male,398,385,384.7433828266497,384.6377926427848
193,22,78,170,Male,405,381,387.7202739559764,387.65300627022026
194,22,78,170,Male,397,395,384.31811266531724,384.20704783886544
195,22,78,170,Male,398,351,384.7433828266497,384.6377926427848
