Timestamp:	X:	Y:	Z:	Acceleration:
1332349332395	-0.34075147	0.2505226	-0.9873409	1.0741113
1332349332423	-0.19516999	0.40309668	-0.36140156	0.57549053
1332349332425	-0.0499748	0.32024217	0.028095245	0.32533348
1332349332436	0.016376138	0.08040285	0.024508476	0.08563563
1332349332436	0.004068136	-0.08098388	-0.2148056	0.22960049
1332349332450	-0.16529372	-0.006996393	-0.53261185	0.5577153
1332349332451	-0.17766955	0.14538503	-0.8501911	0.8806408
1332349332452	-0.111475825	0.21916103	-0.9318819	0.96377504
1332349332452	-0.28043813	0.2143836	-0.7775202	0.853899
1332349332453	-0.37048495	0.13109112	-0.6224146	0.73610044
1332349332454	-0.46001065	0.12621808	-0.46632767	0.66708493
1332349332454	-0.3919338	0.042814493	-0.3091116	0.50099415
1332349332458	-0.2446172	0.03784609	0.0063295364	0.24760848
1332349332459	-0.25337616	0.03282714	0.24470615	0.35377705
1332349332460	-0.33965677	-0.050673485	0.091983795	0.3555215
1332349332461	-0.34638244	-0.05569482	-0.13784218	0.37693924
1332349332462	-0.27349505	-0.13916779	-0.20942879	0.3715207
1332349332463	-0.19942266	-0.1441009	-0.35832787	0.4346646
1332349332463	-0.20259356	-0.22742176	-0.5061598	0.59073055
1332349332468	-0.28299835	-0.2321229	-0.496109	0.61651707
1332349332478	-0.2835932	-0.23664212	-0.56363106	0.6738728
1332349332489	-0.36147606	-0.3193915	-0.63051033	0.7938634
1332349332498	-0.43815875	-0.4018278	-0.85375214	1.0403564
1332349332510	-0.513698	-0.48388457	-1.2334461	1.4210627
1332349332526	-0.5097098	-0.6439791	-1.5342503	1.7402405
1332349332542	-0.4262179	-0.7250724	-1.6776762	1.8766963
1332349332543	-0.34174114	-0.9625225	-1.742168	2.0195014
1332349332560	-0.17777258	-1.0422833	-1.8845315	2.1608832
1332349332561	-0.09148091	-1.1212862	-1.9478555	2.2493982
1332349332576	-0.0042260885	-1.2777536	-1.8532062	2.2510097
1332349332592	0.005161941	-1.511753	-1.6792665	2.2595043
1332349332593	-0.14174539	-1.8230135	-1.4255962	2.3185759
1332349332609	-0.288009	-1.9758179	-1.1702709	2.3143766
