Timestamp:	X:	Y:	Z:	Acceleration:
1332349176661	0.29505485	0.30524278	0.17231846	0.45817482
1332349176677	0.28765637	0.30747128	0.09222698	0.43103433
1332349176678	0.3582223	0.15317702	0.011163712	0.3897577
1332349176679	0.34977743	-7.777214E-4	-0.070687294	0.35684946
1332349176680	0.26222944	-0.07597494	-0.31020737	0.4132373
1332349176680	0.1740567	-0.07251215	-0.47181892	0.5081012
1332349176681	0.08526315	0.0095255375	-0.39842892	0.4075612
1332349176696	0.0743479	0.013105869	-0.16837883	0.1845286
1332349176707	0.06288019	0.016647577	-0.25239563	0.26064268
1332349176709	-0.027520582	0.02009511	-0.2579069	0.26014838
1332349176710	-0.11830303	0.023406029	-0.18476677	0.22064045
1332349176711	-0.05240415	0.105021715	-0.18980122	0.22315972
1332349176717	0.013276398	0.10794759	-0.11592007	0.1589541
1332349176726	0.15741423	0.11063719	-0.041506767	0.1968315
1332349176730	0.14466897	0.0345819	-0.123428345	0.19328624
1332349176740	0.13213187	0.036720276	-0.12618637	0.18636043
1332349176759	0.041433513	0.038553	-0.20670986	0.21431762
1332349176768	0.106156945	0.039569616	-0.12781239	0.17079537
1332349176781	0.09314358	0.040331602	-0.048415184	0.11245619
1332349176797	0.08091009	0.040818453	0.03153801	0.09595433
1332349176813	-0.08747545	0.04104972	0.1119957	0.14791913
1332349176814	-0.17654638	0.04100132	0.114533424	0.21440065
1332349176830	-0.26476032	-0.037817955	0.039164543	0.2703
1332349176831	-0.27366132	-0.03838396	-0.03581524	0.27865136
1332349176847	-0.20321424	0.039295673	-0.18889236	0.2802151
1332349176863	-0.21038069	0.038294792	-0.2632103	0.33912563
1332349176864	-0.21667574	0.037125587	-0.41581059	0.47034577
1332349176880	-0.22200008	0.11425519	-0.48970604	0.54968196
1332349176881	-0.3049086	0.1127851	-0.5634937	0.6505497
1332349176896	-0.22984903	0.11118388	-0.5586376	0.6142218
1332349176913	-0.23243837	0.18800044	-0.5537224	0.6292696
1332349176913	-0.15559527	0.18625331	-0.3916855	0.46077946
