Metric,LSQ,MLP
Mean Error (%),0.42557321808790904,1.2321764038638594
Mean Absolute Error (%),5.321005803404726,5.358722950129093
Std Absolute Error (%),5.4336401622541475,5.625010588543979
Max Error (%),50.49519184000075,50.80061474533781
Min Error (%),0.016121628219190113,0.00533700104432836
