Timestamp:	X:	Y:	Z:	Acceleration:
1332346965661	-0.30514473	0.16591263	-0.17078304	0.3870493
1332346965676	-0.40271792	0.09606624	0.13000965	0.4339504
1332346965676	-0.42204925	0.026500463	0.1167593	0.4387033
1332346965677	-0.28466207	0.035672903	0.02509594	0.28798413
1332346965678	-0.06863487	0.04486561	-0.22312737	0.23771726
1332346965679	0.14763963	0.1325109	-0.31384468	0.37128842
1332346965680	0.12891549	0.22002482	-0.32538223	0.41340503
1332346965680	-0.12460929	0.38578033	-0.41456795	0.57984525
1332346965681	-0.22038046	0.5512011	-0.6597624	0.88751143
1332346965682	-0.39370817	0.63770604	-0.8254137	1.1148914
1332346965682	-0.4090343	0.48822427	-0.83294296	1.0485542
1332346965683	-0.344737	0.18112159	-0.60377693	0.7184673
1332346965684	-0.3576823	-0.04827714	-0.37325668	0.5192185
1332346965687	-0.29080483	-0.2785759	-0.21972942	0.45875156
1332346965689	-0.14403152	-0.509851	-0.45705414	0.6997082
1332346965693	-0.15273607	-0.66366625	-0.92821026	1.1512408
1332346965699	-0.15990478	-0.8969803	-1.476201	1.7347372
1332346965709	-0.087010205	-1.052784	-1.8655343	2.1438615
1332346965719	-0.012588561	-1.2093966	-2.2532282	2.5573103
1332346965729	-0.015172243	-1.2881465	-2.7177367	3.007598
1332346965745	-0.01642114	-1.3672597	-3.023656	3.318458
1332346965762	-0.016158402	-1.2895575	-3.32729	3.568484
1332346965763	-0.014744401	-1.3686414	-3.7858906	4.025713
1332346965778	-0.09069604	-1.4472208	-4.5559325	4.7811294
1332346965779	-0.24415505	-1.3680205	-5.637103	5.805861
1332346965794	-0.3183401	-1.2092664	-6.479826	6.5993795
1332346965811	-0.4701447	-0.97039104	-6.9257193	7.0091567
1332346965812	-0.69992673	-0.8085103	-7.210973	7.2898364
1332346965827	-0.69367844	-0.72299457	-7.0197153	7.0908613
1332346965844	-0.2946044	-0.63545513	-6.273487	6.3124666
1332346965845	0.18331873	-0.5458467	-4.893194	4.926957
1332346965861	0.66175413	-0.5320399	-3.1899896	3.3010633
1332346965862	0.826558	-0.5947468	-1.5580716	1.8613192
1332346965877	0.991642	-0.7338736	-0.15329742	1.243151
1332346965899	0.92150384	-0.8708606	1.1822948	1.7336056
1332346965900	0.69443697	-0.84900975	2.212617	2.4695616
1332346965901	0.6241414	-0.82559776	2.7794876	2.9659257
1332346965910	0.7104061	-0.8006916	2.9609232	3.1484678
1332346965927	0.8745233	-0.77442575	2.9127684	3.138271
1332346965943	0.880829	-0.58999705	2.2411127	2.479222
1332346965944	0.7291184	-0.64000154	1.2580338	1.5886675
1332346965960	0.49761176	-0.8459375	0.43314075	1.0727714
1332346965961	0.2646863	-1.0512393	-0.3930478	1.1531042
1332346965976	0.26570266	-1.0992241	-1.4578905	1.8450843
1332346965993	0.42191607	-1.1467501	-2.5270514	2.8069625
1332346965994	0.576402	-1.1155878	-3.5234241	3.7404938
