Timestamp:	X:	Y:	Z:	Acceleration:
1332352303853	0.10387659	0.25228262	-1.0404711	1.0756472
1332352303864	-0.13675684	0.24507856	-0.17165184	0.32898372
1332352303865	0.014686406	0.23745418	0.61887455	0.6630278
1332352303865	0.08732116	0.07252526	0.78178596	0.7899837
1332352303866	0.002595663	-0.014302254	0.47416115	0.47438392
1332352303867	-0.23933858	-0.022833109	0.24523067	0.34342742
1332352303867	-0.16759986	-0.031537533	0.09496975	0.19520138
1332352303868	-0.09606019	-0.040355682	-0.2906456	0.3087572
1332352303869	-0.18160844	-0.04921317	-0.67628956	0.7019766
1332352303869	-0.34566373	0.098946095	-0.74815273	0.830064
1332352303870	-0.43118235	0.09026885	-0.6632643	0.79623246
1332352303871	-0.43805894	0.08179903	-0.57860756	0.7303242
1332352303872	-0.36618537	-0.0048766136	-0.65112305	0.74704534
1332352303873	-0.37240773	-0.091225386	-0.64530754	0.7506207
1332352303873	-0.2996418	-0.17720056	-0.40411568	0.53338045
1332352303874	-0.22627139	-0.26275468	0.07251263	0.35425535
1332352303877	-0.3091367	-0.34785175	0.3138132	0.5612888
1332352303878	-0.23422432	-0.3539672	0.24138546	0.4882835
1332352303883	-0.07994878	-0.43801427	-0.06624699	0.45015216
1332352303891	-0.081683695	-0.44297123	-0.13818741	0.47115973
1332352303901	-0.23937541	-0.4472456	-0.13140965	0.52402073
1332352303911	-0.3176185	-0.45078778	-0.12447262	0.5653181
1332352303932	-0.23796582	-0.37505984	-0.03895378	0.4458868
1332352303941	-0.15444317	-0.45357728	0.04853344	0.48160204
1332352303953	-0.14895633	-0.45294213	-0.02121067	0.47727817
1332352303970	-0.06446612	-0.45145488	-0.1697092	0.48658875
1332352303986	-0.05796945	-0.44904923	-0.31852055	0.5535892
1332352304009	-0.051074326	-0.44573593	-0.23224354	0.50519913
1332352304012	-0.043637514	-0.4412067	-0.14630318	0.46687493
1332352304013	-0.035921574	-0.43573904	-0.060735703	0.44141558
1332352304014	-0.10644826	-0.50776815	0.25991058	0.58027
1332352304021	-0.17677116	-0.5787499	0.5017309	0.7860874
1332352304037	-0.16848606	-0.7271886	0.6647301	0.9995283
