Timestamp:	X:	Y:	Z:	Acceleration:
1332346809489	0.031729206	0.51568174	-1.6147203	1.6953632
1332346809499	-0.050362125	0.5928967	-1.147706	1.2927846
1332346809500	-0.054206535	0.4343226	-0.75908184	0.8762304
1332346809501	-0.058269694	0.3538742	-0.29164886	0.46225685
1332346809501	0.09438576	0.27298522	-0.2944727	0.41248488
1332346809502	0.24689409	0.19168329	-0.6103945	0.6857701
1332346809503	0.24235764	0.109965324	-0.9253435	0.9628552
1332346809503	0.15927342	0.106250286	-0.92518806	0.944791
1332346809504	-0.0023329407	-0.05492258	-1.0021963	1.0037028
1332346809504	-0.085479245	-0.21658444	-1.0777788	1.1026435
1332346809505	-0.09014784	-0.37870836	-1.2303162	1.2904358
1332346809506	-0.0947959	-0.5412395	-1.3027668	1.4139051
1332346809506	-0.09939569	-0.62562466	-1.6089582	1.7291709
1332346809507	-0.10391018	-0.6317549	-1.9918456	2.092214
1332346809508	-0.1867769	-0.7949312	-2.372879	2.5094533
1332346809509	-0.19099066	-1.036513	-2.751943	2.9468675
1332346809510	-0.2734642	-1.1993519	-3.2859406	3.5086513
1332346809513	-0.277188	-1.2832493	-3.9746308	4.1858397
1332346809514	-0.20211121	-1.5234303	-4.8963456	5.1318507
1332346809519	-0.12665904	-1.6842089	-5.8153152	6.055617
1332346809529	0.10620138	-1.9222158	-6.49537	6.77466
1332346809539	0.18257406	-2.0018187	-7.014923	7.297243
1332346809549	0.33793724	-1.9227093	-7.216343	7.475735
1332346809559	0.4153307	-1.6846268	-7.0990505	7.308008
1332346809574	0.6501814	-1.4442114	-6.662167	6.847843
1332346809591	1.042433	-1.2797052	-6.2189007	6.4342084
1332346809592	1.5920074	-1.1908196	-5.3758535	5.731696
1332346809613	1.8278946	-1.334302	-4.2891164	4.849544
1332346809614	1.906867	-1.5532538	-2.958632	3.8473682
1332346809624	1.6717346	-1.7693176	-1.227572	2.7261906
1332346809641	1.2791113	-1.903372	0.5139532	2.3501272
1332346809641	0.9641526	-2.1128726	1.7149076	2.8869932
1332346809657	0.64787734	-2.240308	2.0627766	3.1134822
1332346809674	0.2518444	-2.1299734	1.7098742	2.7429695
1332346809674	0.011004344	-1.8597333	0.9708967	2.097944
1332346809699	-0.15340792	-1.4294105	0.15881538	1.4463646
1332346809700	-0.3196717	-1.0751328	-0.33710957	1.1712145
1332346809701	-0.40932122	-0.6399729	-0.12598562	0.77005297
1332346809708	-0.3438968	-0.5162356	0.7909875	1.0051992
1332346809724	-0.28019607	-0.54713774	1.7059984	1.8133671
1332346809739	-0.29652596	-0.4973669	2.303862	2.3755171
1332346809740	-0.3139798	-0.44603562	2.5045376	2.563248
1332346809756	-0.25383145	-0.39337277	2.6993008	2.739598
1332346809773	-0.03737265	-0.41801775	3.04397	3.0727658
1332346809774	0.4928082	-0.4422202	3.6158915	3.6760154
1332346809789	1.1800361	-0.3878479	4.335514	4.509944
1332346809790	1.4752679	-0.41244972	5.1236134	5.3477044
1332346809805	1.3787222	-0.43804014	5.8226924	5.9997087
1332346809822	1.2043487	-0.38615596	6.195681	6.323451
1332346809823	1.1091735	-0.33586872	6.7137437	6.813034
1332346809838	0.77914304	-0.6796453	7.845873	7.9137034
1332346809839	0.37113237	-1.1039273	9.513781	9.584802
1332346809854	-0.03648886	-1.6089463	11.246737	11.3612995
1332346809872	-0.13008446	-2.1162148	12.4135895	12.59335
1332346809872	0.011917591	-2.54739	13.330529	13.571748
1332346809888	0.31090719	-2.7454154	13.995517	14.265639
1332346809904	0.6099313	-2.6316314	14.722099	14.967889
1332346809905	0.9090489	-2.5196874	15.824404	16.049515
1332346809921	0.5017612	-2.644494	17.610563	17.815079
1332346809922	-0.61172384	-3.005789	19.771133	20.007666
1332346809937	-1.1757892	-3.1321156	21.59684	21.854431
1332346809954	-0.87650496	-3.2584014	22.380253	22.633188
1332346809955	0.050790608	-3.070329	22.121933	22.334042
1332346809971	1.1352373	-2.7239294	20.972729	21.179327
1332346809972	2.2200978	-2.2974403	19.01305	19.279604
1332346809986	2.9130523	-1.5543984	16.628864	16.9535
1332346810003	3.3711913	-0.574288	14.068056	14.477739
1332346810004	3.5943437	0.25213218	11.631748	12.177046
1332346810020	3.3467932	0.532627	9.476873	10.064584
1332346810021	2.7067273	0.42323136	7.768798	8.237701
1332346810036	2.066016	0.1594441	6.898984	7.2034593
1332346810053	1.8948414	-0.10166597	6.7867193	7.047008
1332346810054	1.9573002	-0.6747498	6.5734434	6.8917685
1332346810070	1.546274	-1.1675192	5.7870035	6.102743
1332346810071	1.0544372	-1.2675216	4.51836	4.8097844
1332346810085	0.95223874	-0.5827007	3.004756	3.205442
1332346810102	1.0034946	0.33754003	0.852705	1.3594266
1332346810118	0.97297925	0.9431996	-2.1666985	2.5555618
1332346810127	0.93920636	1.233887	-5.0290785	5.262719
1332346810128	0.7457091	1.3660204	-7.963729	8.114374
1332346810135	-1.5974045E-4	1.0254192	-10.576289	10.625882
1332346810152	-1.0626488	0.2116102	-12.234292	12.282178
1332346810153	-1.8919876	-0.91892076	-12.854491	13.025435
1332346810168	-1.9385238	-1.8957202	-12.667948	12.9548645
1332346810169	-1.4369639	-2.3267004	-11.983692	12.291756
1332346810184	-0.9360568	-2.133564	-11.660519	11.891005
1332346810201	-0.59242237	-1.394948	-12.8700695	12.958994
1332346810202	-0.40468782	-0.5027778	-15.454036	15.467507
1332346810217	-0.21530044	0.4646863	-18.54446	18.55153
1332346810234	0.21188128	1.5078645	-21.354614	21.408833
1332346810235	0.014115453	2.4701896	-24.11907	24.24524
1332346810251	-0.72958505	2.5669575	-26.51484	26.648794
1332346810252	-1.3912356	1.9554342	-28.156311	28.258398
1332346810267	-1.6565264	1.3418194	-28.487297	28.566952
1332346810283	-1.5254463	1.0399885	-27.667395	27.728926
1332346810284	-1.3901532	0.8927197	-26.006699	26.059122
1332346810307	-1.4074751	0.7428488	-23.896542	23.949478
1332346810309	-1.4988376	0.19781652	-21.4936	21.546705
1332346810316	-1.3500597	-0.50717664	-19.029757	19.084326
1332346810333	-1.1185862	-1.1363662	-16.672302	16.74838
1332346810334	-1.1962389	-1.6901107	-14.412092	14.560078
1332346810350	-1.5828861	-1.854429	-12.95472	13.182155
1332346810351	-1.7300855	-1.3930562	-12.474016	12.670236
